name,ra,dec,distance,radial_velocity,h1_21_cm_mag,h1_21_cm_50pc_width
LeoII,168.3717,22.1547, 0.21,  86, 17.38,
ComaI,186.7458,23.9042, 0.04,  98, 19.88,
BootesIII,209.2808,26.775, 0.05, 198,,
BTS76,179.6838,27.585, 5.57, 455,,
LVJ1205+2813,181.3925,28.2322, 6.74, 534,,
MCG+05-28-046,178.8479,28.34, 7.45, 590,,
KUG1202+286,181.3471,28.3656, 6.69, 529,,
LVJ1213+2957,183.4517,29.9589, 2.68, 225,,
NGC4150,182.64,30.4017,13.74, 226,,
MAPS1206+31,181.6438,31.3425, 7.43, 568,,
LVJ1207+3133,181.9583,31.5522, 7.37, 562,,
LVJ1217+3231,184.3833,32.5325, 5.93, 447,,
NGC4627,190.4988,32.5736, 7.30, 542,,
LVJ1203+3257,180.7954,32.9561, 7.55, 570,,
HS1053+3624,164.1683,36.1411, 9.20, 572,,
MCG+06-27-017,182.485,36.4353, 4.83, 339,,
CGCG189-050,199.2704,37.9525, 5.04, 324,,
CGCG217-018,198.2158,40.5431, 8.33, 555,,
KUG1013+414,154.065,41.1664,11.12, 518,,
KKH82,198.2446,41.7867, 8.06, 529,,
LVJ1028+4240,157.1375,42.6689, 7.55, 547,,,
MCG+08-25-028,204.1867,44.5992, 7.74, 480,,
LVJ1218+4655,184.5462,46.9169, 6.54, 420,,
KDG101,184.7879,47.0897, 7.24, 132,,
LVJ1203+4739,180.75,47.6542, 7.49, 492,,
KUG0937+480,145.0817,47.7772, 7.88, 546,,
LVJ0812+4836,123.1646,48.6125,12.42, 521,,
LVJ1328+4937,202.13,49.6272, 8.02, 395,,
LVJ1000+5022,150.1062,50.3792, 7.97, 538,,
CGCG262-028,116.8838,51.1914, 7.10, 454,,
MCG+09-16-010,140.8208,51.9731, 7.35, 484,,
SBS1224+533,186.7192,53.1053, 5.35, 300,,
UGC08882,209.3108,54.1008, 8.32, 348,,
LVJ1157+5638,179.4758,56.6381, 7.03, 416,,
Maffei1,39.1479,59.655, 3.01,  66,,
DDO044,113.5471,66.8861, 3.19, 213, 18.30,
DDO078,156.6163,67.6567, 3.72,  55,,
KDG061,149.2612,68.5917, 3.60, 221,,
UGC11411,287.1762,70.2839, 4.73,  69,,
DDO082,157.6458,70.6194, 4.00,  56, 18.70,
